d1,d2,d3,d4,d5,validloss
0.0,0.2,0.1,0.1,0.2,0.5965677
0.2,0.0,0.2,0.2,0.1,0.5967882
0.1,0.0,0.2,0.2,0.0,0.5972005
0.0,0.0,0.2,0.2,0.2,0.59720105
0.2,0.0,0.2,0.1,0.1,0.5978898
0.1,0.1,0.0,0.1,0.2,0.59790236
0.1,0.1,0.2,0.0,0.2,0.59813476
0.2,0.0,0.1,0.2,0.0,0.59851366
0.1,0.1,0.1,0.1,0.0,0.59872204
0.2,0.0,0.2,0.0,0.1,0.59877497
0.1,0.2,0.2,0.1,0.0,0.59901273
0.0,0.2,0.2,0.2,0.2,0.59914666
0.2,0.2,0.1,0.0,0.1,0.5993246
0.0,0.2,0.0,0.2,0.0,0.5993817
0.1,0.2,0.1,0.2,0.0,0.59945315
0.2,0.0,0.1,0.2,0.2,0.59945893
0.0,0.1,0.1,0.1,0.1,0.599531
0.2,0.2,0.2,0.1,0.1,0.5995672
0.1,0.0,0.1,0.2,0.0,0.5996612
0.0,0.1,0.1,0.2,0.2,0.5997165
0.0,0.0,0.0,0.2,0.1,0.5998137
0.1,0.2,0.0,0.2,0.0,0.59992874
0.2,0.2,0.0,0.1,0.1,0.5999622
0.0,0.0,0.2,0.2,0.0,0.59998775
0.1,0.1,0.0,0.0,0.1,0.60013765
0.1,0.2,0.0,0.1,0.2,0.60014683
0.1,0.2,0.2,0.2,0.2,0.60015845
0.2,0.0,0.1,0.0,0.2,0.6001737
0.0,0.0,0.2,0.1,0.0,0.6001923
0.0,0.1,0.1,0.1,0.0,0.6002484
0.2,0.2,0.2,0.0,0.2,0.60025084
0.0,0.2,0.0,0.2,0.1,0.60034335
0.1,0.1,0.1,0.1,0.1,0.6004202
0.2,0.0,0.1,0.0,0.0,0.60044396
0.2,0.2,0.1,0.2,0.1,0.60066956
0.1,0.0,0.2,0.1,0.0,0.6007326
0.2,0.2,0.0,0.2,0.0,0.600766
0.0,0.1,0.0,0.2,0.1,0.6007699
0.0,0.1,0.2,0.0,0.0,0.60086364
0.1,0.1,0.2,0.1,0.2,0.6009297
0.1,0.0,0.0,0.1,0.2,0.6010103
0.1,0.1,0.1,0.2,0.1,0.6010437
0.2,0.0,0.0,0.1,0.0,0.6012097
0.0,0.1,0.2,0.1,0.2,0.6012891
0.1,0.0,0.1,0.1,0.0,0.6013945
0.1,0.1,0.2,0.1,0.0,0.6014054
0.1,0.2,0.1,0.0,0.1,0.60149
0.1,0.0,0.2,0.2,0.2,0.6015156
0.2,0.0,0.0,0.2,0.1,0.60151726
0.0,0.2,0.1,0.2,0.1,0.6015627
0.1,0.2,0.2,0.0,0.2,0.6017105
0.2,0.1,0.2,0.2,0.1,0.6017624
0.0,0.2,0.1,0.0,0.2,0.6018259
0.0,0.2,0.0,0.0,0.2,0.6018451
0.0,0.0,0.2,0.1,0.2,0.60185486
0.0,0.0,0.2,0.1,0.1,0.6018554
0.0,0.0,0.1,0.2,0.0,0.60186684
0.0,0.2,0.2,0.1,0.2,0.6019012
0.2,0.0,0.2,0.2,0.0,0.6019052
0.0,0.2,0.0,0.0,0.0,0.60195374
0.1,0.1,0.2,0.0,0.1,0.6020012
0.1,0.1,0.0,0.2,0.1,0.6020253
0.1,0.0,0.2,0.2,0.1,0.602062
0.2,0.1,0.1,0.2,0.0,0.60207295
0.1,0.1,0.0,0.1,0.1,0.6021042
0.2,0.1,0.2,0.1,0.0,0.60210633
0.0,0.1,0.2,0.2,0.0,0.6021322
0.2,0.1,0.1,0.2,0.1,0.6021382
0.2,0.1,0.0,0.2,0.2,0.60214555
0.2,0.0,0.1,0.2,0.1,0.60219556
0.2,0.1,0.1,0.0,0.1,0.6021956
0.2,0.1,0.1,0.1,0.0,0.60222304
0.1,0.1,0.2,0.2,0.1,0.60227764
0.1,0.0,0.2,0.0,0.1,0.6023549
0.2,0.2,0.0,0.1,0.2,0.6025274
0.1,0.0,0.0,0.0,0.2,0.602587
0.2,0.0,0.1,0.0,0.1,0.6025871
0.2,0.2,0.1,0.1,0.2,0.60261244
0.2,0.1,0.1,0.2,0.2,0.602622
0.1,0.1,0.0,0.2,0.2,0.6026657
0.1,0.1,0.1,0.1,0.2,0.6027813
0.0,0.2,0.0,0.1,0.2,0.60278326
0.2,0.0,0.2,0.1,0.2,0.60279566
0.2,0.1,0.2,0.0,0.0,0.60280347
0.1,0.0,0.1,0.0,0.2,0.6028497
0.0,0.2,0.0,0.1,0.0,0.602897
0.1,0.1,0.0,0.1,0.0,0.60295165
0.0,0.0,0.1,0.2,0.1,0.6029534
0.1,0.2,0.1,0.0,0.0,0.6029656
0.1,0.2,0.0,0.1,0.0,0.60296655
0.2,0.0,0.2,0.0,0.0,0.6029852
0.0,0.1,0.0,0.0,0.0,0.6029932
0.2,0.0,0.0,0.1,0.1,0.60303617
0.0,0.0,0.0,0.0,0.1,0.6030385
0.1,0.0,0.2,0.0,0.0,0.60307306
0.2,0.1,0.0,0.1,0.2,0.60307515
0.2,0.2,0.0,0.2,0.2,0.60308164
0.0,0.0,0.1,0.0,0.2,0.60308945
0.0,0.2,0.1,0.0,0.0,0.6031043
0.2,0.1,0.0,0.0,0.0,0.6032072
0.2,0.1,0.0,0.2,0.1,0.60326314
0.0,0.1,0.1,0.1,0.2,0.60326654
0.1,0.0,0.0,0.1,0.0,0.6032711
0.1,0.0,0.0,0.2,0.2,0.60327405
0.2,0.1,0.1,0.1,0.2,0.6033055
0.0,0.1,0.0,0.0,0.1,0.6033327
0.2,0.1,0.2,0.0,0.2,0.6033615
0.1,0.1,0.2,0.2,0.0,0.60336405
0.0,0.2,0.0,0.1,0.1,0.6033655
0.0,0.2,0.2,0.2,0.1,0.6033891
0.2,0.0,0.1,0.1,0.2,0.6033943
0.2,0.2,0.2,0.0,0.1,0.603401
0.1,0.0,0.0,0.2,0.0,0.6034111
0.1,0.0,0.2,0.1,0.1,0.6034281
0.1,0.0,0.2,0.1,0.2,0.6034337
0.2,0.1,0.2,0.2,0.2,0.6034693
0.0,0.1,0.1,0.0,0.0,0.60353
0.0,0.0,0.1,0.1,0.2,0.6035538
0.0,0.2,0.2,0.0,0.0,0.6035727
0.1,0.1,0.0,0.0,0.2,0.6035978
0.0,0.2,0.2,0.1,0.1,0.60360277
