dropc1,dropc2,dropc3,dropc4,validloss
0.2,0.1,0.0,0.2,0.18326889
0.1,0.1,0.0,0.1,0.18393724
0.0,0.1,0.0,0.2,0.18480842
0.0,0.0,0.0,0.2,0.18591456
0.0,0.0,0.2,0.1,0.18876342
0.1,0.0,0.1,0.1,0.18918952
0.0,0.0,0.1,0.1,0.19040692
0.1,0.0,0.0,0.2,0.19194876
0.1,0.1,0.0,0.2,0.19370703
0.0,0.0,0.2,0.2,0.19553979
0.1,0.2,0.0,0.2,0.1957925
0.2,0.1,0.1,0.0,0.19606082
0.2,0.0,0.0,0.0,0.19617836
0.0,0.2,0.0,0.0,0.19637492
0.2,0.1,0.0,0.1,0.19694464
0.1,0.0,0.1,0.0,0.19709404
0.1,0.2,0.0,0.0,0.19715746
0.2,0.2,0.2,0.1,0.19794169
0.0,0.2,0.2,0.2,0.19923909
0.2,0.2,0.1,0.1,0.19950451
0.1,0.2,0.0,0.1,0.20009331
0.2,0.0,0.0,0.2,0.20050018
0.2,0.2,0.1,0.2,0.200753
0.0,0.2,0.0,0.2,0.20206386
0.1,0.1,0.1,0.2,0.20211661
0.2,0.0,0.1,0.0,0.20256269
0.1,0.0,0.0,0.0,0.20274717
0.1,0.1,0.0,0.0,0.20283808
0.0,0.1,0.1,0.1,0.20292269
0.2,0.1,0.2,0.2,0.20311788
0.2,0.0,0.2,0.2,0.20395896
0.2,0.1,0.2,0.1,0.20491269
0.2,0.0,0.0,0.1,0.20502666
0.1,0.0,0.2,0.1,0.20523179
0.0,0.1,0.1,0.0,0.20613015
0.2,0.1,0.2,0.0,0.20619951
0.0,0.0,0.1,0.2,0.2065248
0.1,0.1,0.1,0.0,0.2080302
0.2,0.1,0.1,0.2,0.20850137
0.0,0.1,0.0,0.0,0.20920697
0.1,0.2,0.2,0.0,0.20947902
0.0,0.2,0.1,0.1,0.21083649
0.1,0.0,0.2,0.0,0.21136466
0.2,0.2,0.1,0.0,0.21265239
0.2,0.2,0.0,0.0,0.21281706
0.0,0.1,0.1,0.2,0.2129576
0.0,0.1,0.2,0.2,0.2135478
0.1,0.0,0.0,0.1,0.21386778
0.1,0.1,0.2,0.2,0.21397045
0.0,0.2,0.2,0.1,0.21418571
0.0,0.0,0.2,0.0,0.2157357
0.2,0.0,0.1,0.2,0.21579348
0.2,0.0,0.2,0.0,0.21715854
0.1,0.0,0.1,0.2,0.2175173
0.1,0.1,0.1,0.1,0.2183052
0.0,0.1,0.0,0.1,0.21952422
0.2,0.2,0.2,0.2,0.21955022
0.1,0.2,0.1,0.1,0.22061986
0.0,0.1,0.2,0.1,0.22105764
0.2,0.1,0.1,0.1,0.22425058
0.1,0.2,0.1,0.2,0.22506869
0.2,0.2,0.2,0.0,0.22602536
0.2,0.1,0.0,0.0,0.22638798
0.2,0.0,0.1,0.1,0.2274251
0.0,0.2,0.0,0.1,0.22787102
0.0,0.0,0.0,0.0,0.22803341
0.1,0.1,0.2,0.0,0.22878422
0.0,0.2,0.1,0.0,0.22942977
0.0,0.2,0.1,0.2,0.23007675
0.2,0.0,0.2,0.1,0.23045272
0.1,0.2,0.2,0.1,0.23164684
0.2,0.2,0.0,0.2,0.23254411
0.2,0.2,0.0,0.1,0.23584938
0.0,0.1,0.2,0.0,0.2377922
0.1,0.2,0.2,0.2,0.2384278
0.0,0.2,0.2,0.0,0.2385318
0.0,0.0,0.0,0.1,0.2407513
0.1,0.2,0.1,0.0,0.24921408
0.1,0.0,0.2,0.2,0.2525642
0.1,0.1,0.2,0.1,0.25510287
0.0,0.0,0.1,0.0,0.27107793
